system,dataset,model,mape,mae,rmse
batlik,strawberry.csv,RandomForest,0.024361576515128946,0.039031655092592606,0.05023967665437266
batlik,corona.csv,RandomForest,0.037855993474638645,0.05508699570105821,0.07363817696764562
batlik,village.csv,RandomForest,0.04697448222388901,0.1707064236111109,0.3708184303116037
batlik,jelly.csv,RandomForest,0.027649882993794683,0.051143166152263386,0.08230740472469215
batlik,cubus.csv,RandomForest,0.0210337391841737,0.1283680941358026,0.16411430466455115
batlik,flame.csv,RandomForest,0.022033795546635287,0.03957621527777779,0.0499961036547092
batlik,france.csv,RandomForest,0.024420657817598616,0.0847466435185185,0.10774677871437482
batlik,cranium.csv,RandomForest,0.02130232515943542,0.04248871527777778,0.055938042776133436
batlik,mandelbrot.csv,RandomForest,0.02120849923787139,0.027473495370370426,0.03637107843951378
batlik,karte.csv,RandomForest,0.03411949281143562,0.37543261959876556,0.47273667466430225
batlik,frisco.csv,RandomForest,0.032034004569115794,0.1485285300925924,0.19051255817559856
dconvert,svg-small.csv,RandomForest,0.025596360601167194,0.01429999931295839,0.018055630113554853
dconvert,svg-large.csv,RandomForest,0.02340137217464758,0.035229587071494775,0.045160699979725306
dconvert,png-medium.csv,RandomForest,0.0277198835179676,0.017587269291975436,0.022242816475230225
dconvert,jpeg-medium.csv,RandomForest,0.024572961157818582,0.04409509084102727,0.06197086039764802
dconvert,psd-medium.csv,RandomForest,0.025692124730581783,0.03317235787908432,0.042465979461667545
dconvert,svg-medium.csv,RandomForest,0.01924632090969388,0.029609658761650153,0.03719589403904964
dconvert,png-large.csv,RandomForest,0.026173804063801338,0.06347041417325221,0.0846280685273356
dconvert,psd-small.csv,RandomForest,0.03744168938254097,0.020889896317136822,0.02661765263736396
dconvert,psd-large.csv,RandomForest,0.01579153222320979,0.590106735430315,0.9923772393815987
dconvert,png-small.csv,RandomForest,0.035005039501159775,0.015665582370481237,0.020620748227808378
dconvert,jpeg-small.csv,RandomForest,0.03434804316434837,0.014750400322607994,0.019241262153073993
dconvert,jpeg-large.csv,RandomForest,0.029835654893482454,0.10102324734664649,0.14764915991206018
h2,tpcc-8.csv,RandomForest,0.20272225894923626,109.09646720737318,172.10083426779806
h2,voter-2.csv,RandomForest,0.020065848080239656,650.6156524171989,891.8044502594844
h2,ycsb-2400.csv,RandomForest,0.03994205649715613,558.884892029515,729.0114590637507
h2,smallbank-10.csv,RandomForest,0.022341586119801655,300.92236561979627,405.49854651810125
h2,voter-16.csv,RandomForest,0.020518835135271734,669.5986947014543,912.0276116022146
h2,tpcc-2.csv,RandomForest,0.02780391224550328,20.318301830469082,25.421813519857466
h2,ycsb-600.csv,RandomForest,0.03641547613326774,741.8089909793016,983.278016293124
h2,smallbank-1.csv,RandomForest,0.03818354799068622,730.025828714687,935.4402916715441
jump3r,beethoven.wav.csv,RandomForest,0.16515048522593426,1.642622173756692,2.3809138053718124
jump3r,dual-channel.wav.csv,RandomForest,0.15425640559615098,0.44917442445080685,0.6492316130820565
jump3r,sweep.wav.csv,RandomForest,0.09060582463627383,0.055292119775334846,0.0780056194741052
jump3r,single-channel.wav.csv,RandomForest,0.14124750858621007,0.25865516776008435,0.36188040321842
jump3r,speech.wav.csv,RandomForest,0.14452696268172652,0.6372233997970507,0.8917746478618781
jump3r,helix.wav.csv,RandomForest,0.16154593702169298,0.8314912442028914,1.2488808422267799
kanzi,large.csv,RandomForest,0.2130783663779887,0.7236341707185305,1.505749078118084
kanzi,deepfield.csv,RandomForest,2.8627615518700558,3.868768179362507,7.358650407365918
kanzi,vmlinux.csv,RandomForest,3.357359054547176,34.2957625067531,73.51009888055252
kanzi,misc.csv,RandomForest,0.10479788894663089,0.08699683954619127,0.15259966247413756
kanzi,ambivert.csv,RandomForest,0.387155152314593,4.2482317666126415,7.404172727746778
kanzi,artificl.csv,RandomForest,0.09956722935177488,0.043472096164235564,0.07828915915082092
kanzi,silesia.csv,RandomForest,0.4111267732782283,13.74881377633711,28.256776237323788
kanzi,fannie_mae_500k.csv,RandomForest,0.48535274445079485,5.204600175580765,11.229641544612027
kanzi,enwik8.csv,RandomForest,0.4041563085534016,6.682219773095626,13.521693499581156
lrzip,deepfield.tar.csv,RandomForest,1.5378302390044045,14.999712280701758,25.231498736250057
lrzip,vmlinux-5.10.tar.csv,RandomForest,0.8171398755050051,4.9750567251461995,7.521353259234549
lrzip,artificl.tar.csv,RandomForest,13.817721626221056,1.2757748538011697,1.4329093944471858
lrzip,large.tar.csv,RandomForest,1.026339039140742,2.407877777777778,3.1525468008875315
lrzip,misc.tar.csv,RandomForest,2.7495475312634547,1.2853446393762182,1.4652264812914602
lrzip,uiq2-4.bin.csv,RandomForest,1.2484236870630514,7.701815789473684,12.162602711451433
lrzip,ambivert.wav.tar.csv,RandomForest,1.615411372228551,15.646620467836255,26.323043143446046
lrzip,enwik8.tar.csv,RandomForest,1.0894059739954962,19.927061403508773,30.122840005786642
lrzip,uiq2-8.bin.csv,RandomForest,1.5088897077478212,15.539959649122807,23.942222434133367
lrzip,fannie_mae_500k.tar.csv,RandomForest,0.1277098428448829,5.613708771929827,8.345291047212507
lrzip,uiq-32.bin.csv,RandomForest,2.0868906106866487,58.22453742690059,88.28599830376693
lrzip,uiq2-16.bin.csv,RandomForest,1.87322901709076,31.739005263157893,48.458292683844746
lrzip,silesia.tar.csv,RandomForest,1.2574603590565736,34.058356140350874,52.11323071043364
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,RandomForest,0.2915755181617826,4.857247317264878,8.213580344475607
x264,sd_city_4cif_short.y4m.csv,RandomForest,0.2952388255358391,0.7942384720097889,1.3643730745040503
x264,riverbed_1080p25_short.y4m.csv,RandomForest,0.27408806987212603,3.820652448123789,6.44470272715641
x264,blue_sky_1080p25_short.y4m.csv,RandomForest,0.2878948010838831,1.7249859433312942,2.9478374269389795
x264,sd_crew_cif_short.y4m.csv,RandomForest,0.24621069336860302,0.1363403123477562,0.22669565702601355
x264,sd_bridge_close_cif_short.y4m.csv,RandomForest,0.20004677236426494,0.078401649544543,0.1278061551781041
x264,sintel_trailer_2k_720p24_short.y4m.csv,RandomForest,0.23319091772575604,0.22285712521101705,0.3686848522968523
x264,pedestrian_area_1080p25_short.y4m.csv,RandomForest,0.2940533466115361,2.0433641396026654,3.3958915433506323
x264,Johnny_1280x720_60_short.y4m.csv,RandomForest,0.3171631435441553,1.4095911992567665,2.451165945600266
xz,deepfield.tar.csv,RandomForest,0.10654465621167995,1.2061180051366838,2.5672931718166474
xz,vmlinux-5.10.tar.csv,RandomForest,0.06795713821359818,0.4550783627645503,0.7683299314358902
xz,artificl.tar.csv,RandomForest,0.30175642967372124,0.006493195370370369,0.00786939109083677
xz,large.tar.csv,RandomForest,0.09701200252789,0.38041195919312165,0.6272505484782593
xz,misc.tar.csv,RandomForest,0.07320581447537831,0.029978096560846542,0.061796311561940875
xz,uiq2-4.bin.csv,RandomForest,0.1253189290869792,1.0210103193783067,2.211970595616235
xz,ambivert.wav.tar.csv,RandomForest,0.1550563846776789,1.9243100464285703,4.028102469032757
xz,enwik8.tar.csv,RandomForest,0.2914961919192948,15.042061287345675,36.36896036240551
xz,uiq2-8.bin.csv,RandomForest,0.17458258899668366,3.3047025723765433,6.866934974017272
xz,fannie_mae_500k.tar.csv,RandomForest,0.11686653656512247,4.715979951322755,8.978093836836424
xz,uiq-32.bin.csv,RandomForest,0.2076157429192076,17.270172230952372,36.33247271002531
xz,uiq2-16.bin.csv,RandomForest,0.20890210239410187,8.588960968187829,20.699989764058113
xz,silesia.tar.csv,RandomForest,0.12840442615735032,9.320955385471777,19.001183282872876
z3,LRA_formula_277.smt2.csv,RandomForest,0.04053751180315696,0.10861386138613997,0.14091556855229026
z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,RandomForest,0.034581176599705186,0.41287895751479237,0.5192863078440731
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,RandomForest,0.07583059508563861,0.4726388338833886,0.6110612083901544
z3,QF_AUFBV_891_sqlite3.smt2.csv,RandomForest,1.6047532506751765,3.5296850935093502,6.608767382219288
z3,QF_UFLIA_xs_23_43.smt2.csv,RandomForest,0.104696382599216,2.4089868720205354,3.5916454977412045
z3,QF_UF_PEQ018_size6.smt2.csv,RandomForest,1.2098979681160789,33.395509974330785,56.928541712676065
z3,QF_BV_bench_3176.smt2.csv,RandomForest,2.099993948504181,31.085675328723344,45.90850319074372
z3,QF_RDL_orb08_888.smt2.csv,RandomForest,0.028532872475363246,0.26799960487715424,0.3397200655419277
z3,QF_BV_bench_935.smt2.csv,RandomForest,3.6135461339413113,21.476400935093512,29.78064625708862
z3,QF_LIA_tightrhombus.csv,RandomForest,0.29523551314914215,0.2877814723138982,0.40774731883029264
z3,QF_NRA_hong_9.smt2.csv,RandomForest,0.027324072659940565,0.11064545287861988,0.13531052152691814
z3,AUFNIRA_z3.637557.smt2.csv,RandomForest,1.0419350332748885,19.823068280685217,32.04945891591063
